Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
O14132	reviewed	PIT1_SCHPO	Sporulation protein kinase pit1 (EC 2.7.11.1)	pit1 SPAC3C7.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	650		10.1038/nature724; 10.1093/genetics/154.4.1497; 10.1021/pr7006335	5.0	ATP-binding;Kinase;Meiosis;Nucleotide-binding;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0469; KW-0547; KW-0597; KW-1185; KW-0723; KW-0749; KW-0808	PF00069;	cd07830;	IPR011009;IPR050117;IPR000719;IPR017441;IPR008271;		Protein kinase superfamily, Ser/Thr protein kinase family	PTHR24055;	spo:2543071;			ascospore formation [GO:0030437]; intracellular signal transduction [GO:0035556]; regulation of meiotic nuclear division [GO:0040020]	cell division site [GO:0032153]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; ascospore formation [GO:0030437]; intracellular signal transduction [GO:0035556]; regulation of meiotic nuclear division [GO:0040020]	2543071;
O14434	reviewed	ARP1_ASPFU	Scytalone dehydratase arp1 (EC 4.2.1.94) (Conidial pigment biosynthesis oxidase arp1)	arp1 AFUA_2G17580	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	168		10.1046/j.1365-2958.1997.5681921.x; 10.1038/nature04332; 10.1128/jb.181.20.6469-6477.1999; 10.1186/1471-2180-9-177; 10.1371/journal.pone.0004224; 10.1128/aac.01504-09; 10.3389/fmicb.2011.00096; 10.1371/journal.pone.0019591; 10.1128/iai.01726-14; 10.1111/1462-2920.12808; 10.1016/j.celrep.2016.02.059	5.0	Conidiation;Endosome;Lyase;Reference proteome;Sporulation	KW-0183; KW-0967; KW-0456; KW-1185; KW-0749	PF02982;	cd00531;	IPR032710;IPR004235;IPR049884;		Scytalone dehydratase family		afm:AFUA_2G17580;			conidium formation [GO:0048315]; melanin biosynthetic process [GO:0042438]; pigment biosynthetic process [GO:0046148]; sporulation resulting in formation of a cellular spore [GO:0030435]	endosome [GO:0005768]; scytalone dehydratase activity [GO:0030411]; conidium formation [GO:0048315]; melanin biosynthetic process [GO:0042438]; pigment biosynthetic process [GO:0046148]; sporulation resulting in formation of a cellular spore [GO:0030435]	3513289;
O32727	reviewed	SP2AB_GEOSE	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB	Geobacillus stearothermophilus (Bacillus stearothermophilus)	146	O32726; O32728	10.1016/s0378-1119(97)00096-6	5.0	3D-structure;ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0002; KW-0067; KW-0418; KW-0547; KW-0723; KW-0749; KW-0808	PF13581;	cd16942;	IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;				asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	
O34327	reviewed	RAPJ_BACSU	Response regulator aspartate phosphatase J (EC 3.1.3.-)	rapJ ycdE BSU02820	Bacillus subtilis (strain 168)	373	P94416; P06628	10.1099/00221287-143-8-2775; 10.1038/36786; 10.1371/journal.pbio.1000589; 10.1371/journal.pbio.1001512	5.0	3D-structure;Allosteric enzyme;Cytoplasm;Hydrolase;Protein phosphatase;Reference proteome;Repeat;Sporulation;TPR repeat	KW-0002; KW-0021; KW-0963; KW-0378; KW-0904; KW-1185; KW-0677; KW-0749; KW-0802	PF18801;		IPR051476;IPR011990;IPR019734;		Rap family	PTHR46630;PTHR46630:SF1;	bsu:BSU02820;			sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; phosphoprotein phosphatase activity [GO:0004721]; sporulation resulting in formation of a cellular spore [GO:0030435]	938373;
O34398	reviewed	LIGD_BACSU	Bifunctional non-homologous end joining protein LigD (NHEJ DNA polymerase) [Includes: DNA ligase (Lig) (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]); DNA repair polymerase (Pol) (Polymerase/primase)]	ligd ykoU BSU13400	Bacillus subtilis (strain 168)	611		10.1038/36786; 10.1126/science.1074584; 10.1016/j.jmb.2006.01.059; 10.1128/jb.00018-07	5.0	ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Ligase;Manganese;Metal-binding;Multifunctional enzyme;Nuclease;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Sporulation;Transferase	KW-0067; KW-0227; KW-0233; KW-0234; KW-0238; KW-0239; KW-0269; KW-0378; KW-0436; KW-0464; KW-0479; KW-0511; KW-0540; KW-0547; KW-0548; KW-1185; KW-0749; KW-0808	PF01068;PF21686;	cd07906;cd04866;	IPR012310;IPR014146;IPR033652;IPR014145;IPR014143;IPR052171;	TIGR02778;TIGR02779;TIGR02776;	LigD polymerase family; ATP-dependent DNA ligase family	PTHR42705;PTHR42705:SF2;	bsu:BSU13400;			DNA recombination [GO:0006310]; DNA repair [GO:0006281]; sporulation resulting in formation of a cellular spore [GO:0030435]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; DNA-directed DNA polymerase activity [GO:0003887]; exonuclease activity [GO:0004527]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; sporulation resulting in formation of a cellular spore [GO:0030435]	939372;
O34928	reviewed	PDAA_BACSU	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-)	pdaA yfjS BSU07980	Bacillus subtilis (strain 168)	263		10.1099/13500872-142-11-3057; 10.1038/36786; 10.1128/jb.184.21.6007-6015.2002; 10.1128/jb.186.1.80-89.2004; 10.1128/jb.187.4.1287-1292.2005; 10.1016/j.febslet.2004.06.013	5.0	3D-structure;Cell wall biogenesis/degradation;Hydrolase;Metal-binding;Reference proteome;Signal;Sporulation	KW-0002; KW-0961; KW-0378; KW-0479; KW-1185; KW-0732; KW-0749	PF01522;	cd10948;	IPR011330;IPR002509;IPR050248;IPR014235;	TIGR02884;	Polysaccharide deacetylase family	PTHR10587;PTHR10587:SF78;	bsu:BSU07980;			carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]; sporulation resulting in formation of a cellular spore [GO:0030435]	deacetylase activity [GO:0019213]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]; sporulation resulting in formation of a cellular spore [GO:0030435]	936136;
O35002	reviewed	CTPB_BACSU	Carboxy-terminal processing protease CtpB (C-terminal processing protease) (EC 3.4.21.102)	ctpB yvjB BSU35240	Bacillus subtilis (strain 168)	480	O35002; P26936	10.1046/j.1365-2958.1998.00747.x; 10.1038/36786; 10.1128/jb.185.20.6051-6056.2003; 10.1016/j.molcel.2006.05.019; 10.1128/jb.00399-07; 10.1016/j.cell.2013.09.050	5.0	3D-structure;Autocatalytic cleavage;Hydrolase;Protease;Reference proteome;Serine protease;Signal;Sporulation	KW-0002; KW-0068; KW-0378; KW-0645; KW-1185; KW-0720; KW-0732; KW-0749	PF22694;PF13180;PF03572;PF01471;	cd00988;cd07560;	IPR029045;IPR055210;IPR001478;IPR036034;IPR004447;IPR002477;IPR036365;IPR036366;IPR005151;	TIGR00225;	Peptidase S41A family	PTHR32060:SF29;PTHR32060;	bsu:BSU35240;	S41.007;		peptide metabolic process [GO:0006518]; proteolysis [GO:0006508]; signal transduction [GO:0007165]; sporulation resulting in formation of a cellular spore [GO:0030435]	outer membrane-bounded periplasmic space [GO:0030288]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; peptidase activity [GO:0008233]; peptide binding [GO:0042277]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase activity [GO:0004252]; peptide metabolic process [GO:0006518]; proteolysis [GO:0006508]; signal transduction [GO:0007165]; sporulation resulting in formation of a cellular spore [GO:0030435]	936678;
O36019	reviewed	ATG13_SCHPO	Autophagy protein 13 (Meiotically up-regulated gene 78 protein)	atg13 mug78 SPAC4F10.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	758	O13978	10.1038/nature724; 10.1046/j.1365-2443.2000.00317.x; 10.1016/j.cub.2005.10.038; 10.1038/nbt1222; 10.1111/j.1365-2443.2007.01041.x; 10.1099/mic.0.034389-0; 10.1371/journal.pgen.1003715; 10.1080/15548627.2017.1382782; 10.1038/nsmb.3036	5.0	3D-structure;Autophagy;Cytoplasm;Meiosis;Phosphoprotein;Protein transport;Reference proteome;Sporulation;Transport	KW-0002; KW-0072; KW-0963; KW-0469; KW-0597; KW-0653; KW-1185; KW-0749; KW-0813	PF10033;		IPR040182;IPR018731;IPR036570;		ATG13 family, Fungi subfamily	PTHR13430;PTHR13430:SF4;	spo:2543425;			autophagosome assembly [GO:0000045]; macroautophagy [GO:0016236]; meiotic cell cycle [GO:0051321]; mitophagy [GO:0000423]; piecemeal microautophagy of the nucleus [GO:0034727]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]	Atg1/ULK1 kinase complex [GO:1990316]; autophagosome [GO:0005776]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; phagophore assembly site [GO:0000407]; protein kinase regulator activity [GO:0019887]; autophagosome assembly [GO:0000045]; macroautophagy [GO:0016236]; meiotic cell cycle [GO:0051321]; mitophagy [GO:0000423]; piecemeal microautophagy of the nucleus [GO:0034727]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; sporulation resulting in formation of a cellular spore [GO:0030435]	2543425;
O42626	reviewed	NRC2_NEUCR	Serine/threonine-protein kinase nrc-2 (EC 2.7.11.1) (Non-repressible conidiation protein 2)	nrc-2 B1K11.130 NCU01797	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	623		10.1093/genetics/149.1.117; 10.1093/nar/gkg293; 10.1038/nature01554	5.0	ATP-binding;Conidiation;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0183; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF00069;	cd05574;	IPR011009;IPR000719;IPR008271;		Protein kinase superfamily, Ser/Thr protein kinase family, KIN82 subfamily	PTHR45637;	ncr:NCU01797;			conidium formation [GO:0048315]; phospholipid translocation [GO:0045332]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; conidium formation [GO:0048315]; phospholipid translocation [GO:0045332]; sporulation resulting in formation of a cellular spore [GO:0030435]	3872624;
O60165	reviewed	SPN7_SCHPO	Septin homolog spn7	spn7 SPBC19F8.01c SPBC21.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	428		10.1038/nature724; 10.1038/nbt1222; 10.1128/mcb.01529-09	5.0	Cytoplasm;GTP-binding;Lipid-binding;Meiosis;Membrane;Nucleotide-binding;Nucleus;Reference proteome;Sporulation	KW-0963; KW-0342; KW-0446; KW-0469; KW-0472; KW-0547; KW-0539; KW-1185; KW-0749	PF00735;		IPR030379;IPR027417;IPR016491;		TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, Septin GTPase family	PTHR18884;				cytoskeleton-dependent cytokinesis [GO:0061640]; protein localization [GO:0008104]; spore membrane bending pathway [GO:0070583]	cell division site [GO:0032153]; cytosol [GO:0005829]; mating projection septin ring [GO:0032175]; meiotic septin complex [GO:0032152]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; prospore septin ring [GO:0032169]; septin complex [GO:0031105]; septin ring [GO:0005940]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; lipid binding [GO:0008289]; molecular adaptor activity [GO:0060090]; cytoskeleton-dependent cytokinesis [GO:0061640]; protein localization [GO:0008104]; spore membrane bending pathway [GO:0070583]	
O74184	reviewed	WAT1_SCHPO	Target of rapamycin complex subunit wat1 (TORC subunit wat1) (WD repeat-containing protein pop3)	pop3 wat1 SPBC21B10.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	314	P36629	10.1007/s004380050400; 10.1242/jcs.114.16.2911; 10.1038/nature724; 10.1242/jcs.03241; 10.1038/nbt1222; 10.1111/j.1365-2443.2007.01141.x; 10.1128/mcb.01039-06	5.0	Cell cycle;Cytoplasm;Meiosis;Nucleus;Phosphoprotein;Reference proteome;Repeat;Sporulation;WD repeat	KW-0131; KW-0963; KW-0469; KW-0539; KW-0597; KW-1185; KW-0677; KW-0749; KW-0853	PF00400;	cd00200;	IPR020472;IPR037588;IPR015943;IPR019775;IPR036322;IPR001680;		WD repeat LST8 family	PTHR19842;PTHR19842:SF0;	spo:2540645;			meiotic cell cycle [GO:0051321]; regulation of actin cytoskeleton organization [GO:0032956]; sporulation resulting in formation of a cellular spore [GO:0030435]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; TORC2 signaling [GO:0038203]	cytosol [GO:0005829]; fungal-type vacuole membrane [GO:0000329]; nucleus [GO:0005634]; TORC1 complex [GO:0031931]; TORC2 complex [GO:0031932]; meiotic cell cycle [GO:0051321]; regulation of actin cytoskeleton organization [GO:0032956]; sporulation resulting in formation of a cellular spore [GO:0030435]; TOR signaling [GO:0031929]; TORC1 signaling [GO:0038202]; TORC2 signaling [GO:0038203]	2540645;
O74201	reviewed	UBC2_CANAL	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Radiation sensitivity protein 6) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	UBC2 RAD6 CAALFM_C703870WA CaO19.7195	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	179		10.1046/j.1365-2958.2000.01801.x; 10.1073/pnas.0401648101; 10.1186/gb-2007-8-4-r52; 10.1186/gb-2013-14-9-r97	5.0	ATP-binding;Chromatin regulator;Cytoplasm;DNA damage;DNA repair;Nucleotide-binding;Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation;Transferase;Ubl conjugation pathway	KW-0067; KW-0156; KW-0963; KW-0227; KW-0234; KW-0547; KW-0539; KW-1185; KW-0749; KW-0804; KW-0805; KW-0808; KW-0833	PF00179;	cd00195;	IPR050113;IPR000608;IPR023313;IPR016135;		Ubiquitin-conjugating enzyme family	PTHR24067;	cal:CAALFM_C703870WA;			cellular response to unfolded protein [GO:0034620]; cellular response to UV [GO:0034644]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; filamentous growth [GO:0030447]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; fungal biofilm matrix [GO:0062040]; HULC complex [GO:0033503]; MUB1-RAD6-UBR2 ubiquitin ligase complex [GO:1990304]; nucleus [GO:0005634]; Rad6-Rad18 complex [GO:0097505]; RAD6-UBR2 ubiquitin ligase complex [GO:1990305]; UBR1-RAD6 ubiquitin ligase complex [GO:1990303]; ATP binding [GO:0005524]; proteasome binding [GO:0070628]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]; cellular response to unfolded protein [GO:0034620]; cellular response to UV [GO:0034644]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; filamentous growth [GO:0030447]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	3643143;
O74327	reviewed	AVT5_SCHPO	Vacuolar amino acid transporter 5	avt5 avt8 SPBC1685.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	420		10.1038/nature724; 10.1099/mic.0.034389-0; 10.1016/j.febslet.2010.04.012	5.0	Amino-acid transport;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix;Transport;Vacuole	KW-0029; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133; KW-0813; KW-0926	PF01490;		IPR013057;		Amino acid/polyamine transporter 2 family	PTHR22950;PTHR22950:SF678;	spo:2540081;			amino acid transmembrane import into vacuole [GO:0032975]; amino acid transmembrane transport [GO:0003333]; L-arginine transmembrane import into vacuole [GO:0090518]; L-glutamate import involved in cellular response to nitrogen starvation [GO:1901481]; L-glutamate transmembrane import into vacuole [GO:0090515]; L-histidine transmembrane import into vacuole [GO:0090513]; L-lysine import into vacuole involved in cellular response to nitrogen starvation [GO:1901482]; L-lysine transmembrane import into vacuole [GO:0090517]; L-serine transmembrane import into vacuole [GO:0090516]; L-tyrosine transmembrane import into vacuole [GO:0090514]; sporulation resulting in formation of a cellular spore [GO:0030435]	fungal-type vacuole membrane [GO:0000329]; L-arginine transmembrane transporter activity [GO:0061459]; L-glutamate transmembrane transporter activity [GO:0005313]; L-histidine transmembrane transporter activity [GO:0005290]; L-lysine transmembrane transporter activity [GO:0015189]; L-serine transmembrane transporter activity [GO:0015194]; L-tyrosine transmembrane transporter activity [GO:0005302]; amino acid transmembrane import into vacuole [GO:0032975]; amino acid transmembrane transport [GO:0003333]; L-arginine transmembrane import into vacuole [GO:0090518]; L-glutamate import involved in cellular response to nitrogen starvation [GO:1901481]; L-glutamate transmembrane import into vacuole [GO:0090515]; L-histidine transmembrane import into vacuole [GO:0090513]; L-lysine import into vacuole involved in cellular response to nitrogen starvation [GO:1901482]; L-lysine transmembrane import into vacuole [GO:0090517]; L-serine transmembrane import into vacuole [GO:0090516]; L-tyrosine transmembrane import into vacuole [GO:0090514]; sporulation resulting in formation of a cellular spore [GO:0030435]	2540081;
O74384	reviewed	ERFB_SCHPO	Palmitoyltransferase erf2 (EC 2.3.1.225) (DHHC cysteine-rich domain-containing protein erf2) (Meiotically up-regulated gene 142 protein) (Ras protein acyltransferase)	erf2 mug142 SPBC3H7.09	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	350		10.1038/nature724; 10.1016/j.cub.2005.10.038; 10.1038/nbt1222; 10.1371/journal.pbio.1001597	5.0	Acyltransferase;Endoplasmic reticulum;Golgi apparatus;Lipoprotein;Membrane;Palmitate;Reference proteome;Sporulation;Transferase;Transmembrane;Transmembrane helix	KW-0012; KW-0256; KW-0333; KW-0449; KW-0472; KW-0564; KW-1185; KW-0749; KW-0808; KW-0812; KW-1133	PF01529;		IPR001594;IPR039859;		DHHC palmitoyltransferase family, ERF2/ZDHHC9 subfamily	PTHR22883:SF43;PTHR22883;	spo:2541058;			protein targeting to membrane [GO:0006612]; sporulation resulting in formation of a cellular spore [GO:0030435]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum palmitoyltransferase complex [GO:0031211]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; protein targeting to membrane [GO:0006612]; sporulation resulting in formation of a cellular spore [GO:0030435]	2541058;
O94649	reviewed	ATG2_SCHPO	Autophagy-related protein 2 (Meiotically up-regulated gene 36 protein)	atg2 mug36 SPBC31E1.01c SPBC660.18c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1646		10.1038/nature724; 10.1016/j.cub.2005.10.038; 10.1371/journal.pgen.1003715; 10.1038/s41594-019-0203-4	5.0	3D-structure;Autophagy;Endoplasmic reticulum;Lipid transport;Meiosis;Membrane;Reference proteome;Sporulation;Transport	KW-0002; KW-0072; KW-0256; KW-0445; KW-0469; KW-0472; KW-1185; KW-0749; KW-0813	PF09333;PF13329;PF12624;		IPR026849;IPR015412;IPR026885;IPR026854;		ATG2 family	PTHR13190;PTHR13190:SF1;				autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; glycophagy [GO:0061723]; intermembrane phospholipid transfer [GO:0120010]; macroautophagy [GO:0016236]; meiotic cell cycle [GO:0051321]; pexophagy [GO:0000425]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of autophagosome assembly [GO:2000786]; reticulophagy [GO:0061709]; sporulation resulting in formation of a cellular spore [GO:0030435]	endoplasmic reticulum membrane [GO:0005789]; phagophore [GO:0061908]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; lipid transfer activity [GO:0120013]; phosphatidylinositol-3-phosphate binding [GO:0032266]; protein-membrane adaptor activity [GO:0043495]; autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; glycophagy [GO:0061723]; intermembrane phospholipid transfer [GO:0120010]; macroautophagy [GO:0016236]; meiotic cell cycle [GO:0051321]; pexophagy [GO:0000425]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of autophagosome assembly [GO:2000786]; reticulophagy [GO:0061709]; sporulation resulting in formation of a cellular spore [GO:0030435]	
P00782	reviewed	SUBT_BACAM	Subtilisin BPN' (EC 3.4.21.62) (Alkaline protease) (Subtilisin DFE) (Subtilisin Novo)	apr	Bacillus amyloliquefaciens (Bacillus velezensis)	382	Q40059	10.1128/jb.159.3.811-819.1984; 10.1093/nar/11.22.7911; 10.1016/s0021-9258(18)99412-3; 10.1016/s1096-4959(02)00183-5; 10.1098/rstb.1970.0014; 10.1016/0022-2836(84)90150-5; 10.1021/bi00444a012; 10.1107/s0907444996007500; 10.1073/pnas.61.4.1440	5.0	3D-structure;Calcium;Direct protein sequencing;Hydrolase;Metal-binding;Protease;Secreted;Serine protease;Signal;Sporulation;Zymogen	KW-0002; KW-0106; KW-0903; KW-0378; KW-0479; KW-0645; KW-0964; KW-0720; KW-0732; KW-0749; KW-0865	PF22148;PF00082;	cd07477;	IPR054399;IPR000209;IPR036852;IPR023827;IPR022398;IPR023828;IPR050131;IPR015500;IPR037045;IPR034202;		Peptidase S8 family	PTHR43806:SF11;PTHR43806;		I09.001;S08.034;		fibrinolysis [GO:0042730]; proteolysis [GO:0006508]; sporulation resulting in formation of a cellular spore [GO:0030435]	extracellular region [GO:0005576]; metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]; fibrinolysis [GO:0042730]; proteolysis [GO:0006508]; sporulation resulting in formation of a cellular spore [GO:0030435]	
